study,parameter,value,min_delta_v_m_s,tau
arrival_speed_dC,dC,0.002,89.54700281427033,0.24267800602226072
arrival_speed_dC,dC,0.005,96.85269215472937,0.24326309658303955
arrival_speed_dC,dC,0.01,109.57233088725162,0.2441304273092855
arrival_speed_dC,dC,0.02,134.51318257991556,0.24555146552513923
arrival_speed_dC,dC,0.03,157.68721522142613,0.2466886742404292
arrival_speed_dC,dC,0.05,198.98396222837852,0.2484527355522277
arrival_direction_theta_deg,theta_deg,-20,100.3744486735269,0.27924931823559507
arrival_direction_theta_deg,theta_deg,-10,105.76694112607748,0.2608909422693235
arrival_direction_theta_deg,theta_deg,-5,107.8617174495479,0.25236072172336377
arrival_direction_theta_deg,theta_deg,0,109.57233088725162,0.2441304273092855
arrival_direction_theta_deg,theta_deg,5,110.90698879380636,0.23610852276838776
arrival_direction_theta_deg,theta_deg,10,111.87065356862337,0.2282067179287305
arrival_direction_theta_deg,theta_deg,20,112.68826767076541,0.21240491857132435
local_phase_dtau,dtau,-0.05,129.17892751905603,0.1941304310115307
local_phase_dtau,dtau,-0.02,112.76668713977611,0.22413043101153074
local_phase_dtau,dtau,-0.01,110.36560478490068,0.23413043101153072
local_phase_dtau,dtau,-0.005,109.769471677828,0.23913043101153073
local_phase_dtau,dtau,0.0,109.57233088725141,0.24413043101153073
local_phase_dtau,dtau,0.005,109.76612696768858,0.24913043101153073
local_phase_dtau,dtau,0.01,110.33898236737154,0.2541304310115307
local_phase_dtau,dtau,0.02,112.55788891289485,0.2641304310115307
local_phase_dtau,dtau,0.05,126.29295485039628,0.29413043101153075
