study,parameter,value,delta_v_m_s,accepted,min_dist_earth_du
jacobi_offset_dC,dC,0.002,89.56467727536437,True,0.5862644451681908
jacobi_offset_dC,dC,0.005,96.85888395508965,True,0.4775470111493862
jacobi_offset_dC,dC,0.01,109.57233088725219,True,0.402716942752057
jacobi_offset_dC,dC,0.02,134.52735489929654,True,0.41856404512543266
jacobi_offset_dC,dC,0.03,157.72907496168193,True,0.48806962779611757
jacobi_offset_dC,dC,0.05,199.08790209506748,False,0.6288404173372641
direction_offset_theta_deg,theta_deg,-20,108.95346164741089,True,0.6165799784392014
direction_offset_theta_deg,theta_deg,-10,107.87835984957452,True,0.504133878015992
direction_offset_theta_deg,theta_deg,-5,108.38360875796441,True,0.44665681153842723
direction_offset_theta_deg,theta_deg,0,109.57233088725219,True,0.402716942752057
direction_offset_theta_deg,theta_deg,5,111.41380455639076,True,0.38399878216095085
direction_offset_theta_deg,theta_deg,10,113.86276843699112,True,0.40259290695992445
direction_offset_theta_deg,theta_deg,20,120.35163449124731,True,0.5907148641611373
backward_duration_days,t_back_days,5.0,109.57233088725219,False,0.872114961811587
backward_duration_days,t_back_days,10.0,109.57233088725219,True,0.402716942752057
backward_duration_days,t_back_days,15.0,109.57233088725219,True,0.3199384904642299
backward_duration_days,t_back_days,20.0,109.57233088725219,True,0.3199415303842266
backward_duration_days,t_back_days,30.0,109.57233088725219,True,0.31325519110664596
backward_duration_days,t_back_days,40.0,109.57233088725219,True,0.2967326656541643
backward_duration_days,t_back_days,60.0,109.57233088725219,True,0.28710196342802363
local_phase_dtau,dtau,-0.05,129.17893252071408,True,0.6903813242300136
local_phase_dtau,dtau,-0.02,112.76668925897312,True,0.4476749896871275
local_phase_dtau,dtau,-0.01,110.36560583938169,True,0.4168594763196175
local_phase_dtau,dtau,-0.005,109.76947220106952,True,0.40798668415116385
local_phase_dtau,dtau,0.0,109.57233088725219,True,0.402716942752057
local_phase_dtau,dtau,0.005,109.76612645770321,True,0.40052411428786544
local_phase_dtau,dtau,0.01,110.33898136546878,True,0.4009103466083636
local_phase_dtau,dtau,0.02,112.55788699722326,True,0.40756336542450666
local_phase_dtau,dtau,0.05,126.29295089281601,True,0.447685814933948
